day_of_week,day,dep_time_period,dep_time,avg_dep_delay,dep_delay,num_flights
Sunday,7,0001-0559,1,7.55,124435,16482
Sunday,7,0600-0659,2,6.25,281992,45121
Sunday,7,0700-0759,3,6.28,295745,47070
Sunday,7,0800-0859,4,6.80,334463,49173
Sunday,7,0900-0959,5,7.71,365047,47374
Sunday,7,1000-1059,6,8.34,405081,48567
Sunday,7,1100-1159,7,9.06,450654,49733
Sunday,7,1200-1259,8,10.17,485185,47693
Sunday,7,1300-1359,9,11.34,553765,48821
Sunday,7,1400-1459,10,12.57,566361,45051
Sunday,7,1500-1559,11,13.31,650335,48868
Sunday,7,1600-1659,12,14.80,684585,46242
Sunday,7,1700-1759,13,16.31,881600,54058
Sunday,7,1800-1859,14,17.60,829304,47120
Sunday,7,1900-1959,15,17.84,819359,45929
Sunday,7,2000-2059,16,18.33,719465,39251
Sunday,7,2100-2159,17,16.97,444823,26214
Sunday,7,2200-2259,18,15.21,313202,20595
Sunday,7,2300-2359,19,15.30,117822,7703
