origin,city,lat,long,num_flights,delay,,,,
ELP,"El Paso, TX",31.8072,-106.378,11347,11,,,,
ENV,"Wendover, UT",40.7187,-114.031,1,157,,,,
ERI,"Erie, PA",42.0831,-80.1739,747,15,,,,
ESC,"Escanaba, MI",45.7227,-87.0937,627,14,,,,
EUG,"Eugene, OR",44.1246,-123.212,3538,16,,,,
EVV,"Evansville, IN",38.037,-87.5324,2740,15,,,,
EWN,"New Bern/Morehead/Beaufort, NC",35.073,-77.0429,702,13,,,,
EWR,"Newark, NJ",40.6925,-74.1687,115783,16,,,,
EYW,"Key West, FL",24.5561,-81.7596,1749,12,,,,
FAI,"Fairbanks, AK",64.8151,-147.856,2483,7,,,,
FAR,"Fargo, ND",46.9207,-96.8158,3976,12,,,,
FAT,"Fresno, CA",36.7762,-119.718,8315,13,,,,
FAY,"Fayetteville, NC",34.9912,-78.8803,1701,12,,,,
FCA,"Kalispell, MT",48.3105,-114.256,2371,8,,,,
FLG,"Flagstaff, AZ",35.1385,-111.671,1846,8,,,,
FLL,"Fort Lauderdale, FL",26.0726,-80.1527,83307,14,,,,
FNT,"Flint, MI",42.9654,-83.7436,3876,7,,,,
FSD,"Sioux Falls, SD",43.582,-96.7419,4230,12,,,,
FSM,"Fort Smith, AR",35.3366,-94.3674,1154,12,,,,
FWA,"Fort Wayne, IN",40.9785,-85.1951,4186,13,,,,
GCC,"Gillette, WY",44.3489,-105.539,1040,8,,,,
GCK,"Garden City, KS",37.9275,-100.724,427,26,,,,
GEG,"Spokane, WA",47.6199,-117.534,10042,8,,,,
GFK,"Grand Forks, ND",47.9493,-97.1761,1555,11,,,,
GGG,"Longview, TX",32.384,-94.7115,382,19,,,,
GJT,"Grand Junction, CO",39.1224,-108.527,2920,6,,,,
GNV,"Gainesville, FL",29.6901,-82.2718,2287,14,,,,
GPT,"Gulfport/Biloxi, MS",30.4073,-89.0701,3149,11,,,,
GRB,"Green Bay, WI",44.4851,-88.1296,3739,10,,,,
GRI,"Grand Island, NE",40.9675,-98.3096,320,16,,,,
GRK,"Killeen, TX",31.0672,-97.8289,1930,9,,,,
GRR,"Grand Rapids, MI",42.8808,-85.5228,9215,11,,,,
GSO,"Greensboro/High Point, NC",36.0978,-79.9373,6092,13,,,,
GSP,"Greer, SC",34.8957,-82.2189,7157,12,,,,
GST,"Gustavus, AK",58.4253,-135.707,84,8,,,,
GTF,"Great Falls, MT",47.482,-111.371,1829,9,,,,
GTR,"Columbus, MS",33.4503,-88.5914,1013,14,,,,
GUC,"Gunnison, CO",38.5339,-106.933,242,21,,,,
GUM,"Guam, TT",13.4834,144.796,367,11,,,,
HDN,"Hayden, CO",40.4812,-107.218,1025,13,,,,
HIB,"Hibbing, MN",47.3866,-92.839,991,16,,,,
HLN,"Helena, MT",46.6068,-111.983,1677,5,,,,
HNL,"Honolulu, HI",21.3187,-157.922,47293,5,,,,
HOB,"Hobbs, NM",32.6875,-103.217,621,11,,,,
HOU,"Houston, TX",29.6454,-95.2789,54202,11,,,,
HPN,"White Plains, NY",41.067,-73.7076,7128,16,,,,
HRL,"Harlingen/San Benito, TX",26.2285,-97.6544,2975,8,,,,
HSV,"Huntsville, AL",34.6372,-86.7751,4069,9,,,,
HYA,"Hyannis, MA",41.6693,-70.2804,121,15,,,,
HYS,"Hays, KS",38.8422,-99.2732,626,9,,,,
IAD,"Washington, DC",38.9445,-77.4558,34440,12,,,,
IAG,"Niagara Falls, NY",43.1073,-78.9462,398,12,,,,
IAH,"Houston, TX",29.9844,-95.3414,137092,12,,,,
ICT,"Wichita, KS",37.6499,-97.4331,7863,11,,,,
IDA,"Idaho Falls, ID",43.5146,-112.071,2483,8,,,,
ILM,"Wilmington, NC",34.2706,-77.9026,2582,13,,,,
IMT,"Iron Mountain/Kingsfd, MI",45.8184,-88.1145,677,13,,,,
IND,"Indianapolis, IN",39.7173,-86.2944,26844,11,,,,
INL,"International Falls, MN",48.5662,-93.4031,628,18,,,,
ISN,"Williston, ND",48.1779,-103.642,1644,11,,,,
ISP,"Islip, NY",40.7952,-73.1002,4706,9,,,,
ITH,"Ithaca/Cortland, NY",42.491,-76.4584,903,16,,,,
ITO,"Hilo, HI",19.7214,-155.048,5974,4,,,,
JAC,"Jackson, WY",43.6073,-110.738,3931,16,,,,
JAN,"Jackson/Vicksburg, MS",32.3112,-90.0759,5201,11,,,,
JAX,"Jacksonville, FL",30.4941,-81.6879,18652,11,,,,
JFK,"New York, NY",40.6398,-73.7789,97751,16,,,,
JLN,"Joplin, MO",37.1518,-94.4983,436,13,,,,
JMS,"Jamestown, ND",46.9297,-98.6782,939,13,,,,
JNU,"Juneau, AK",58.355,-134.576,4580,7,,,,
KOA,"Kona, HI",19.7388,-156.046,12396,6,,,,
KTN,"Ketchikan, AK",55.3556,-131.714,2475,7,,,,
LAN,"Lansing, MI",42.7787,-84.5874,2434,13,,,,
LAR,"Laramie, WY",41.3121,-105.675,626,11,,,,
LAS,"Las Vegas, NV",36.0801,-115.152,150686,13,,,,
LAW,"Lawton/Fort Sill, OK",34.5677,-98.4166,1140,14,,,,
LAX,"Los Angeles, CA",33.9425,-118.408,212983,14,,,,
LBB,"Lubbock, TX",33.6636,-101.823,4576,9,,,,
LBE,"Latrobe, PA",40.2759,-79.4048,1046,13,,,,
LCH,"Lake Charles, LA",30.1261,-93.2233,1264,12,,,,
LEX,"Lexington, KY",38.0365,-84.6059,5170,14,,,,
LFT,"Lafayette, LA",30.2053,-91.9876,3095,13,,,,
LGA,"New York, NY",40.7772,-73.8726,96569,17,,,,
LGB,"Long Beach, CA",33.8177,-118.152,11163,12,,,,
LIH,"Lihue, HI",21.976,-159.339,11827,5,,,,
LIT,"Little Rock, AR",34.7294,-92.2243,8393,9,,,,
LNK,"Lincoln, NE",40.851,-96.7592,3054,11,,,,
LRD,"Laredo, TX",27.5438,-99.4616,2123,13,,,,
LSE,"La Crosse, WI",43.879,-91.2567,756,7,,,,
LWS,"Lewiston, ID",46.3745,-117.015,715,5,,,,
MAF,"Midland/Odessa, TX",31.9425,-102.202,5853,9,,,,
MBS,"Saginaw/Bay City/Midland, MI",43.5329,-84.0796,1995,13,,,,
MCI,"Kansas City, MO",39.2976,-94.7139,43591,10,,,,
MCO,"Orlando, FL",28.4294,-81.309,125715,13,,,,
MDT,"Harrisburg, PA",40.1935,-76.7634,2549,12,,,,
MDW,"Chicago, IL",41.786,-87.7524,87809,11,,,,
MEI,"Meridian, MS",32.3326,-88.7519,992,22,,,,
MEM,"Memphis, TN",35.0424,-89.9767,14128,11,,,,
MFE,"Mission/McAllen/Edinburg, TX",26.1758,-98.2386,2223,12,,,,
MFR,"Medford, OR",42.3742,-122.873,2966,15,,,,
MGM,"Montgomery, AL",32.3006,-86.394,2449,15,,,,
MHK,"Manhattan/Ft. Riley, KS",39.141,-96.6708,1,0,,,,
MHT,"Manchester, NH",42.9326,-71.4357,6712,9,,,,
MIA,"Miami, FL",25.7932,-80.2906,69658,16,,,,
MKE,"Milwaukee, WI",42.9472,-87.8966,32575,10,,,,
MKG,"Muskegon, MI",43.1695,-86.2382,683,16,,,,
MLB,"Melbourne, FL",28.1028,-80.6453,1518,10,,,,
MLI,"Moline, IL",41.4485,-90.5075,2527,14,,,,
MLU,"Monroe, LA",32.5109,-92.0377,3073,13,,,,
MMH,"Mammoth Lakes, CA",37.6241,-118.838,117,26,,,,
MOB,"Mobile, AL",30.6912,-88.2428,4907,12,,,,
MOT,"Minot, ND",48.2594,-101.28,1647,12,,,,
MQT,"Marquette, MI",46.3536,-87.3954,697,21,,,,
MRY,"Monterey, CA",36.587,-121.843,2544,12,,,,
MSN,"Madison, WI",43.1399,-89.3375,7532,10,,,,
MSO,"Missoula, MT",46.9163,-114.091,2682,9,,,,
MSP,"Minneapolis, MN",44.882,-93.2218,129234,10,,,,
MSY,"New Orleans, LA",29.9934,-90.258,43509,11,,,,
MTJ,"Montrose/Delta, CO",38.5098,-107.894,1100,14,,,,
MVY,"Martha's Vineyard, MA",41.3931,-70.6143,248,24,,,,
MYR,"Myrtle Beach, SC",33.6797,-78.9283,5754,14,,,,
OAJ,"Jacksonville/Camp Lejeune, NC",34.8292,-77.6121,1269,14,,,,
OAK,"Oakland, CA",37.7213,-122.221,48819,10,,,,
OGG,"Kahului, HI",20.8986,-156.43,23321,7,,,,
OKC,"Oklahoma City, OK",35.3931,-97.6007,15695,9,,,,
OMA,"Omaha, NE",41.3032,-95.8941,17967,10,,,,
OME,"Nome, AK",64.5122,-165.445,724,6,,,,
ONT,"Ontario, CA",34.056,-117.601,19642,11,,,,
ORD,"Chicago, IL",41.9786,-87.9048,244082,16,,,,
ORF,"Norfolk, VA",36.8946,-76.2012,11086,13,,,,
ORH,"Worcester, MA",42.2673,-71.8757,721,18,,,,
OTH,"North Bend/Coos Bay, OR",43.4171,-124.246,300,24,,,,
OTZ,"Kotzebue, AK",66.8847,-162.599,725,5,,,,
PAH,"Paducah, KY",37.0608,-88.7738,684,15,,,,
PBG,"Plattsburgh, NY",44.6509,-73.4681,371,11,,,,
PBI,"West Palm Beach/Palm Beach, FL",26.6832,-80.0956,24285,15,,,,
PDX,"Portland, OR",45.5887,-122.598,58669,9,,,,
PGD,"Punta Gorda, FL",26.9202,-81.9905,83,15,,,,
PHF,"Newport News/Williamsburg, VA",37.1319,-76.493,1127,11,,,,
PHL,"Philadelphia, PA",39.8719,-75.2411,73164,12,,,,
PHX,"Phoenix, AZ",33.4343,-112.012,159126,10,,,,
PIA,"Peoria, IL",40.6642,-89.6933,2952,14,,,,
PIB,"Hattiesburg/Laurel, MS",31.4671,-89.3371,627,16,,,,
PIH,"Pocatello, ID",42.9098,-112.596,926,6,,,,
PIT,"Pittsburgh, PA",40.4915,-80.2329,25299,9,,,,
PLN,"Pellston, MI",45.5709,-84.7967,1101,18,,,,
PNS,"Pensacola, FL",30.4734,-87.1866,5976,10,,,,
PPG,"Pago Pago, TT",-14.331,-170.71,121,60,,,,
PSC,"Pasco/Kennewick/Richland, WA",46.2647,-119.119,3808,11,,,,
PSE,"Ponce, PR",18.0083,-66.563,863,10,,,,
PSG,"Petersburg, AK",56.8017,-132.945,728,6,,,,
PSP,"Palm Springs, CA",33.8297,-116.507,10061,15,,,,
PVD,"Providence, RI",41.7326,-71.4204,12687,9,,,,
PWM,"Portland, ME",43.6462,-70.3093,6369,14,,,,
RAP,"Rapid City, SD",44.0453,-103.057,3004,11,,,,
RDD,"Redding, CA",40.509,-122.293,991,15,,,,
RDM,"Bend/Redmond, OR",44.2541,-121.15,2787,15,,,,
RDU,"Raleigh/Durham, NC",35.8776,-78.7875,34965,12,,,,
RHI,"Rhinelander, WI",45.6312,-89.4675,1042,11,,,,
RIC,"Richmond, VA",37.5052,-77.3197,15928,14,,,,
RKS,"Rock Springs, WY",41.5942,-109.065,660,7,,,,
RNO,"Reno, NV",39.4991,-119.768,14182,11,,,,
ROA,"Roanoke, VA",37.3255,-79.9754,2214,12,,,,
ROC,"Rochester, NY",43.1189,-77.6724,7384,11,,,,
ROW,"Roswell, NM",33.3016,-104.531,440,9,,,,
RST,"Rochester, MN",43.9083,-92.5,1211,13,,,,
RSW,"Fort Myers, FL",26.5362,-81.7552,29250,13,,,,
SAF,"Santa Fe, NM",35.6171,-106.089,1212,22,,,,
SAN,"San Diego, CA",32.7336,-117.19,78183,10,,,,
SAT,"San Antonio, TX",29.5337,-98.4698,30852,10,,,,
SAV,"Savannah, GA",32.1276,-81.2021,7326,14,,,,
SBA,"Santa Barbara, CA",34.4262,-119.84,5983,16,,,,
SBN,"South Bend, IN",41.7087,-86.3173,5314,13,,,,
SBP,"San Luis Obispo, CA",35.2368,-120.642,3193,13,,,,
SCC,"Deadhorse, AK",70.1947,-148.465,834,4,,,,
SCE,"State College, PA",40.8493,-77.8487,746,13,,,,
SDF,"Louisville, KY",38.1744,-85.736,9944,12,,,,
SEA,"Seattle, WA",47.449,-122.309,132625,9,,,,
SFO,"San Francisco, CA",37.619,-122.375,172358,15,,,,
SGF,"Springfield, MO",37.2457,-93.3886,2800,12,,,,
SGU,"St. George, UT",37.0364,-113.5103,2079,6,,,,
SHV,"Shreveport, LA",32.4466,-93.8256,5945,13,,,,
SIT,"Sitka, AK",57.0471,-135.362,1370,7,,,,
SJC,"San Jose, CA",37.3626,-121.929,42074,10,,,,
SJT,"San Angelo, TX",31.3577,-100.496,1010,17,,,,
SJU,"San Juan, PR",18.4394,-66.0018,26872,12,,,,
SLC,"Salt Lake City, UT",40.7884,-111.978,108819,8,,,,
SMF,"Sacramento, CA",38.6954,-121.591,41261,11,,,,
SMX,"Santa Maria, CA",34.8989,-120.457,557,19,,,,
SNA,"Santa Ana, CA",33.6757,-117.868,42582,9,,,,
SPI,"Springfield, IL",39.8441,-89.6779,1738,14,,,,
SPN,"Saipan, TT",15.119,145.729,1,24,,,,
SPS,"Wichita Falls, TX",33.9888,-98.4919,847,14,,,,
